SKU,GreenworksID,Model,Name,BladeSize,MSRP,SalePrice,SpecialText,SaleEndDate,Category,SubCategory,Tags,Series,System,RecommendedBatteryCount,Type,Builder,ComponentType,IncludedBattery,IncludedCharger,RecommendedBattery,StandardCharger,FastCharger,MultiCharger,82BD250,82BD250RunTimeLow,82BD250RunTimeHigh,82BD250CutsPerCharge,82BD250CutMaterial,82BD400,82BD400RunTimeLow,82BD400RunTimeHigh,82BD400CutsPerCharge,82BD400CutMaterial,82BD500,82BD500RunTimeLow,82BD500RunTimeHigh,82BD500CutsPerCharge,82BD500CutMaterial,82BD800,82BD800RunTimeLow,82BD800RunTimeHigh,82BD800CutsPerCharge,82BD800CutMaterial,CORE300,CORE300RunTimeLow,CORE300RunTimeHigh,CORE300CutsPerCharge,CORE300CutMaterial,CORE360,CORE360RunTimeLow,CORE360RunTimeHigh,CORE360CutsPerCharge,CORE360CutMaterial,CORE400,CORE400RunTimeLow,CORE400RunTimeHigh,CORE400CutsPerCharge,CORE400CutMaterial,CORE530,CORE530RunTimeLow,CORE530RunTimeHigh,CORE530CutsPerCharge,CORE530CutMaterial,CORE700,CORE700RunTimeLow,CORE700RunTimeHigh,CORE700CutsPerCharge,CORE700CutMaterial,82DPC8A,CHD1300,82CH62K,DefaultPackage,Weight,AirVelocity,AirVolume,PDF,Video,Badge,Image,Active,Featured,SortOrder,ProductURL,InventoryURL
BB50XA1,BB50XA1,BB50X_TOOL,Greenworks BB50X Back-Pack Blower, ,899.99,, ,,Blowers,Backpack Blowers, ,OPTIMUS,82V,2,Blower,82V Configurator,Tool, ,,CORE700,82DPC8A,CHD1300,82CH62K,TRUE, , ,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,23,57,,,TRUE,TRUE,TRUE,Tool Only,15.7,205,1145,,,OPTIMUS;82V;COMMERCIAL,,TRUE,FALSE,1, ,  
BB50XC2A1,BB50XC2A1,BB50X_TOOL,Greenworks BB50X w/2 CORE700 & CHD1300, ,2999.99,, ,,Blowers,Backpack Blowers, ,OPTIMUS,82V,2,Blower,82V Configurator,Kit,CORE700,CHD1300,CORE700,82DPC8A,CHD1300,82CH62K,TRUE, , ,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,23,57,,,TRUE,TRUE,TRUE,CORE700+CORE700+CHD1300,15.7,205,1145,,,OPTIMUS;82V;COMMERCIAL,,TRUE,TRUE,2, ,  
2704402,2704402,EC161_TOOL,Greenworks EC161 Lawn Edger,8,499.99,, ,,Edgers,Straight Shaft Edgers, ,OPTIMUS,82V,1,Edger,82V Configurator,Tool, ,,CORE360,82DPC8A,CHD1300,82CH62K,TRUE,26,59,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,TRUE,TRUE,Tool Only,12.0,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,FALSE,8, ,  
EC161CA1,EC161CA1,EC161_CORE360_82DPC8A,Greenworks EC161 w/CORE360 & 82DPC8A,8,899.99,, ,,Edgers,Straight Shaft Edgers, ,OPTIMUS,82V,1,Edger,82V Configurator,Kit,CORE360,82DPC8A,CORE360,82DPC8A,CHD1300,82CH62K,TRUE,26,59,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,TRUE,TRUE,CORE360+82DPC8A,12.0,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,TRUE,9, , 
2703902,2703902,ES161_TOOL,Greenworks ES161 Lawn Edger,8,549.99,, ,,Edgers,Straight Shaft Edgers, ,OPTIMUS,82V,1,Edger,82V Configurator,Tool, ,,CORE400,82DPC8A,CHD1300,82CH62K,TRUE,26,59,,,TRUE,41,95,,,TRUE,52,119,,,TRUE,83,190,,,TRUE,41,95,,,TRUE,,,,,TRUE,57,130,,,TRUE,75,171,,,TRUE,,,,,TRUE,TRUE,TRUE,Tool Only,12.4,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,FALSE,10, , 
2704302,2704302,ES161_CORE400_82DPC8A,Greenworks ES161 w/CORE400 & 82DPC8A,8,999.99,, ,,Edgers,Straight Shaft Edgers, ,OPTIMUS,82V,1,Edger,82V Configurator,Kit,CORE400,82DPC8A,CORE400,82DPC8A,CHD1300,82CH62K,TRUE,26,59,,,TRUE,41,95,,,TRUE,52,119,,,TRUE,83,190,,,TRUE,41,95,,,TRUE,,,,,TRUE,57,130,,,TRUE,75,171,,,TRUE,,,,,TRUE,TRUE,TRUE,CORE400+82DPC8A,12.4,,,,,BEST VALUE;OPTIMUS;82V,,TRUE,TRUE,11, , 
2307702,2307702,PH302F_TOOL,Greenworks PF302F Pole Hedge Trimmer,24,469.99,,,,Hedge Trimmer,Pole Hedge Trimmer, ,OPTIMUS,82V,1,Hedge Trimmer,82V Configurator,Tool,,,CORE300,82DPC8A,CHD1300,82CH62K,TRUE,81,94,,,TRUE,146,169,,,TRUE,162,188,,,TRUE,259,301,,,TRUE,146,169,,,TRUE,,,,,TRUE,183,212,,,TRUE,239,277,,,TRUE,,,,,TRUE,TRUE,TRUE,Tool Only,8.6,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,FALSE,45, , 
2308302,2308302,PH302F_82BD250_82DPC8A,Greenworks PH302F-25DP Pole Hedge Trimmer,24,689.99,,,,Hedge Trimmer,Pole Hedge Trimmer, ,OPTIMUS,82V,1,Hedge Trimmer,82V Configurator,Tool,82BD250,82DPC8A,CORE300,82DPC8A,CHD1300,82CH62K,TRUE,81,94,,,TRUE,146,169,,,TRUE,162,188,,,TRUE,259,301,,,TRUE,146,169,,,TRUE,,,,,TRUE,183,212,,,TRUE,239,277,,,TRUE,,,,,TRUE,TRUE,TRUE,82BD250+82DPC8A,8.6,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,FALSE,46, , 
2309802,2309802,PH302F_CORE300_82DPC8A,Greenworks PH302F-C3DP Pole Hedge Trimmer,24,869.99,,,,Hedge Trimmer,Pole Hedge Trimmer, ,OPTIMUS,82V,1,Hedge Trimmer,82V Configurator,Tool,CORE300,82DPC8A,CORE300,82DPC8A,CHD1300,82CH62K,TRUE,81,94,,,TRUE,146,169,,,TRUE,162,188,,,TRUE,259,301,,,TRUE,146,169,,,TRUE,,,,,TRUE,183,212,,,TRUE,239,277,,,TRUE,,,,,TRUE,TRUE,TRUE,CORE300+82DPC8A,8.6,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,FALSE,47, , 
2308702,2308702,PH482T_TOOL,Greenworks PH482A Articulating Hedge Trimmer,20,549.99,,,,Hedge Trimmer,Pole Hedge Trimmer, ,OPTIMUS,82V,1,Hedge Trimmer,82V Configurator,Tool,,,CORE300,82DPC8A,CHD1300,82CH62K,TRUE,81,94,,,TRUE,146,169,,,TRUE,162,188,,,TRUE,259,301,,,TRUE,146,169,,,TRUE,,,,,TRUE,183,212,,,TRUE,239,277,,,TRUE,,,,,TRUE,TRUE,TRUE,Tool Only,9.2,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,FALSE,48, , 
PH482ACA1,PH482ACA1,PH482T_CORE300_82DPC8A,Greenworks PH482A-C3DP Articulating HT,20,949.99,,,,Hedge Trimmer,Pole Hedge Trimmer, ,OPTIMUS,82V,1,Hedge Trimmer,82V Configurator,Kit,CORE300,82DPC8A,CORE300,82DPC8A,CHD1300,82CH62K,TRUE,81,94,,,TRUE,146,169,,,TRUE,162,188,,,TRUE,259,301,,,TRUE,146,169,,,TRUE,,,,,TRUE,183,212,,,TRUE,239,277,,,TRUE,,,,,TRUE,TRUE,TRUE,CORE300+82DPC8A,9.2,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,TRUE,49, , 
2308002,2308002,PH662T_TOOL,Greenworks PH662T Telescoping Articulating HT,20,649.99,,,,Hedge Trimmer,Pole Hedge Trimmer, ,OPTIMUS,82V,1,Hedge Trimmer,82V Configurator,Tool,,,CORE300,82DPC8A,CHD1300,82CH62K,TRUE,81,94,,,TRUE,146,169,,,TRUE,162,188,,,TRUE,259,301,,,TRUE,146,169,,,TRUE,,,,,TRUE,183,212,,,TRUE,239,277,,,TRUE,,,,,TRUE,TRUE,TRUE,Tool Only,11.9,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,FALSE,50, , 
2308602,2308602,PH662T_82BD250_82DPC8A,Greenworks PH662T-25DP Telescoping Art. HT,20,749.99,,,,Hedge Trimmer,Pole Hedge Trimmer, ,OPTIMUS,82V,1,Hedge Trimmer,82V Configurator,Kit,82BD250,82DPC8A,82BD250,82DPC8A,CHD1300,82CH62K,TRUE,81,94,,,TRUE,146,169,,,TRUE,162,188,,,TRUE,259,301,,,TRUE,146,169,,,TRUE,,,,,TRUE,183,212,,,TRUE,239,277,,,TRUE,,,,,TRUE,TRUE,TRUE,82BD250+82DPC8A,11.9,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,TRUE,51, ,
PH662TCA1,PH662TCA1,PH662T_CORE300_82DPC8A,Greenworks PH662T-C3DP Telescoping Art. HT,20,1049.99,,,,Hedge Trimmer,Pole Hedge Trimmer, ,OPTIMUS,82V,1,Hedge Trimmer,82V Configurator,Kit,CORE300,82DPC8A,CORE300,82DPC8A,CHD1300,82CH62K,TRUE,81,94,,,TRUE,146,169,,,TRUE,162,188,,,TRUE,259,301,,,TRUE,146,169,,,TRUE,,,,,TRUE,183,212,,,TRUE,239,277,,,TRUE,,,,,TRUE,TRUE,TRUE,COR300+82DPC8A,11.9,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,TRUE,52,  ,
1503502,1503502,PC141_TOOL,"Greenworks PC141 - 14"" Power Cutter",14,999.99,,,,Power Cutters,Power Cutters,  ,OPTIMUS,82V,1,Power Cutter,82V Configurator,Tool,,,CORE530,82DPC8A,CHD1300,82CH62K,FALSE,,,,,TRUE,,,72,"3/4"" Rebar",TRUE,,,89,"3/4"" Rebar",TRUE,,,146,"3/4"" Rebar",TRUE,,,80,"3/4"" Rebar",TRUE,,,, ,TRUE,,,110,"3/4"" Rebar",TRUE,,,140,"3/4"" Rebar",TRUE,,,, ,TRUE,TRUE,TRUE,Tool Only,15.0,,,,,OPTIMUS;82V;COMMERCIAL,,TRUE,FALSE,200, ,
1504702,1504702,PC141_CORE530_82DPC8A,Greenworks PC141 w/CORE530 & 82DPC8A,14,1999.99,,,,Power Cutters,Power Cutters, ,OPTIMUS,82V,1,Power Cutter,82V Configurator,Kit,CORE530,82DPC8A,CORE530,82DPC8A,CHD1300,82CH62K,FALSE,,,,,TRUE,,,72,"3/4"" Rebar",TRUE,,,89,"3/4"" Rebar",TRUE,,,146,"3/4"" Rebar",TRUE,,,80,"3/4"" Rebar",TRUE,,,, ,TRUE,,,110,"3/4"" Rebar",TRUE,,,140,"3/4"" Rebar",TRUE,,,, ,TRUE,TRUE,TRUE,CORE530+82DPC8A,15.0,,,,,BEST VALUE;OPTIMUS;COMMERCIAL,,TRUE,TRUE,201,,
